iter	Passed	Remaining
0	0	528
1	0	469
2	1	444
3	1	426
4	2	434
5	2	425
6	3	450
7	3	441
8	4	442
9	4	435
10	4	433
11	5	431
12	5	442
13	6	455
14	6	455
15	7	449
16	7	444
17	8	440
18	8	436
19	8	432
20	9	428
21	9	425
22	9	423
23	10	419
24	10	417
25	11	414
26	11	411
27	11	408
28	12	406
29	12	404
30	12	402
31	13	400
32	13	398
33	13	396
34	14	395
35	14	393
36	15	392
37	15	390
38	15	388
39	16	387
40	16	387
41	16	386
42	17	385
43	18	395
44	18	394
45	19	394
46	19	393
47	19	394
48	20	394
49	20	398
50	21	399
51	21	398
52	22	397
53	22	396
54	23	395
55	23	395
56	23	394
57	24	395
58	24	394
59	25	393
60	25	392
61	25	392
62	26	391
63	26	394
64	27	393
65	27	392
66	28	391
67	28	390
68	28	389
69	29	388
70	29	387
71	29	386
72	30	385
73	30	385
74	31	388
75	31	387
76	32	385
77	32	385
78	32	384
79	33	383
80	33	381
81	33	380
82	34	383
83	35	382
84	35	380
85	35	380
86	36	379
87	36	379
88	36	378
89	37	378
90	37	378
91	38	377
92	38	376
93	38	375
94	39	375
95	39	376
96	40	376
97	40	376
98	41	376
99	41	375
100	42	375
101	45	400
102	45	400
103	46	400
104	46	399
105	47	398
106	47	397
107	48	397
108	48	396
109	48	396
110	51	411
111	51	410
112	52	409
113	52	408
114	52	407
115	53	406
116	53	405
117	54	403
118	54	402
119	54	401
120	55	400
121	55	399
122	55	398
123	56	397
124	56	396
125	56	395
126	57	393
127	57	392
128	57	391
129	58	390
130	58	389
131	58	387
132	59	386
133	59	385
134	60	385
135	60	385
136	61	384
137	61	385
138	62	384
139	62	383
140	62	383
141	63	383
142	63	381
143	64	380
144	64	379
145	64	378
146	65	379
147	66	380
148	66	379
149	66	378
150	67	377
151	67	376
152	67	375
153	68	374
154	68	372
155	68	371
156	68	370
157	69	368
158	69	367
159	69	366
160	70	365
161	70	364
162	70	362
163	70	361
164	71	360
165	71	359
166	71	358
167	72	357
168	72	355
169	72	354
170	72	353
171	73	352
172	73	352
173	74	351
174	74	351
175	74	350
176	75	350
177	75	349
178	76	348
179	76	349
180	77	349
181	77	348
182	78	350
183	78	349
184	79	348
185	79	348
186	79	347
187	80	347
188	80	346
189	81	347
190	81	346
191	82	345
192	82	344
193	82	343
194	83	343
195	83	342
196	83	341
197	83	340
198	84	339
199	84	338
200	84	337
201	85	336
202	85	335
203	85	334
204	86	333
205	86	332
206	86	332
207	86	331
208	87	330
209	87	330
210	88	329
211	88	328
212	88	328
213	89	327
214	89	327
215	90	326
216	90	326
217	90	325
218	91	327
219	92	327
220	92	326
221	93	327
222	93	326
223	94	326
224	94	326
225	95	325
226	95	325
227	96	325
228	96	325
229	97	324
230	97	324
231	97	324
232	98	323
233	98	323
234	99	323
235	99	322
236	100	322
237	100	322
238	101	321
239	101	321
240	101	320
241	102	320
242	102	319
243	103	320
244	103	320
245	104	319
246	104	320
247	105	319
248	105	319
249	106	319
250	107	320
251	107	320
252	108	320
253	110	325
254	112	329
255	114	331
256	114	331
257	114	330
258	117	335
259	117	334
260	119	337
261	120	339
262	121	339
263	121	339
264	122	339
265	124	343
266	125	344
267	128	349
268	128	349
269	129	348
270	129	348
271	129	347
272	130	346
273	130	345
274	130	344
275	130	343
276	131	342
277	131	341
278	131	340
279	132	339
280	132	338
281	132	337
282	133	337
283	133	336
284	133	335
285	134	335
286	134	334
287	134	333
288	135	332
289	135	331
290	135	330
291	136	329
292	136	329
293	136	328
294	136	327
295	137	326
296	137	325
297	137	324
298	138	323
299	138	322
300	138	322
